site,transect,team,spcode,start,stop,dist
BR1,2,AW,OPUCHI,29.6,29.9,0.3
BR1,2,AW,DALFOR,29.9,30.1,0.2
BR1,2,AW,astirr,30.1,30.4,0.3
BR1,2,AW,BG,30.4,30.8,0.4
BR1,2,AW,OPUCHI,30.8,31.5,0.7
BR1,2,AW,DALFOR,31.5,32.6,1.1
BR1,2,AW,BG,32.6,33,0.4
BR1,2,AW,astirr,33,33.4,0.4
BR1,2,AW,ACACON,33.4,33.8,0.4
BR1,2,AW,BG,33.8,35.8,2
BR1,2,AW,astirr,35.8,36.4,0.6
BR1,2,AW,ACACON,36.4,36.5,0.1
BR1,2,AW,ARTLUD,36.5,36.7,0.2
BR1,2,AW,DASLEI,36.7,37,0.3
BR1,2,AW,ACACON,37,38,1
BR1,2,AW,ARTLUD,38,39.4,1.4
BR1,2,AW,BG,39.4,42.3,2.9
BR1,2,AW,ARTLUD,42.3,42.8,0.5
BR1,2,AW,BG,42.8,45.1,2.3
BR1,2,AW,DALFOR,45.1,45.4,0.3
BR1,2,AW,oppwoo,45.5,45.6,0.1
BR1,2,AW,DASLEI,45.6,46.5,0.9
BR1,2,AW,BG,46.5,46.6,0.1
BR1,2,AW,astirr,46.6,47.1,0.5
BR1,2,AW,BG,47.1,47.9,0.8
BR1,2,AW,DALFOR,47.9,48.5,0.6
BR1,2,AW,DASLEI,48.5,50,1.5
BR1,3,HC,NOLERU,0,1,1
BR1,3,HC,ACAGRE,0.4,1.3,0.9
BR1,3,HC,NOLERU,0.8,1.8,1
BR1,3,HC,oppwoo,0.4,0.65,0.25
BR1,3,HC,HERB,1.9,2.5,0.6
BR1,3,HC,ACAGRE,2.65,2.8,0.15
BR1,3,HC,ACACON,3,4.5,1.5
BR1,3,HC,ACAGRE,4,4.4,0.4
BR1,3,HC,DASLEI,4.3,5.2,0.9
BR1,3,HC,DASLEI,5.2,5.9,0.7
BR1,3,HC,BG,5.9,6.3,0.4
BR1,3,HC,DASLEI,6.3,6.9,0.6
BR1,3,HC,DASLEI,6.4,6.8,0.4
