site,team,ttrans,transect,spcode,start,stop,dieback,notes
C1,BL,4,BL1,LECAN,41.59,42.09,90,
C1,BL,4,BL1,HERB,42.55,42.6,,
C1,BL,4,BL1,HERB,42.7,42.8,,
C1,BL,4,BL1,HERB,43.04,43.15,,
C1,BL,4,BL1,HERB,43.85,43.9,,
C1,BL,4,BL1,HERB,44.6,45.2,,
C1,BL,4,BL1,DALEI,46.85,46.55,100,
C1,BL,4,BL1,VISTE,47.55,48.6,100,
C1,BL,4,BL1,HERB,47.7,47.8,,
C1,BL,4,BL1,VISTE,49,49.8,100,
C1,BL,5,BL2,HERB,0.52,0.69,,
C1,BL,5,BL2,HERB,1.4,1.43,,
C1,BL,5,BL2,HERB,1.8,1.88,,
C1,BL,5,BL2,HERB,2.3,2.38,,
C1,BL,5,BL2,HERB,2.97,3.09,,
C1,BL,5,BL2,HERB,4.1,4.15,,
C1,BL,5,BL2,HERB,4.45,4.7,,
C1,BL,5,BL2,legmin,4.95,6.94,100,
C1,BL,5,BL2,HERB,7.71,7.78,,
C1,BL,5,BL2,HERB,8.63,8.66,,
C1,BL,5,BL2,HERB,9.1,9.2,,
C1,BL,5,BL2,VISTE,11.3,11.85,100,
C1,BL,5,BL2,HERB,11.35,11.44,,
C1,BL,5,BL2,HERB,12.06,12.1,,
C1,BL,5,BL2,HERB,12.79,12.92,,
C1,BL,5,BL2,VISTE,13.8,14.1,100,
C1,BL,5,BL2,HERB,14.35,14.46,,
C1,BL,5,BL2,HERB,14.73,14.77,,
C1,BL,5,BL2,HERB,15.27,15.42,,
C1,BL,5,BL2,VISTE,15.27,15.7,100,
C1,BL,5,BL2,HERB,15.59,15.64,,
C1,BL,5,BL2,HERB,16.54,16.57,,
C1,BL,5,BL2,VISTE,16.7,17.2,100,
C1,BL,5,BL2,HERB,17.1,17.15,,
C1,BL,5,BL2,HERB,17.4,17.45,,
C1,BL,5,BL2,VISTE,17.6,17.9,,
C1,BL,5,BL2,EPTOR,18.3,18.5,0,
C1,BL,5,BL2,HERB,18.33,18.38,,
C1,BL,5,BL2,ACGRE,18.7,19.49,,
C1,BL,5,BL2,HERB,19.02,19.12,,
C1,BL,5,BL2,HERB,19.2,19.27,,
C1,BL,5,BL2,HERB,21.97,22.01,,
C1,BL,5,BL2,HERB,22.85,22.95,,
C1,BL,5,BL2,LECAN,23.3,23.88,50,
C1,BL,5,BL2,HERB,23.8,23.9,,
C1,BL,5,BL2,HERB,24.2,24.35,,
C1,BL,5,BL2,THDEL,24.49,25.13,100,
C1,BL,5,BL2,HERB,25.48,25.8,,
C1,BL,5,BL2,HERB,26.32,26.38,,
C1,BL,5,BL2,VISTE,26.09,26.75,,
C1,BL,5,BL2,HERB,27.1,27.25,,
C1,BL,5,BL2,ACGRE,27.24,28.27,90,
C1,BL,5,BL2,VISTE,28.8,29,100,
C1,BL,5,BL2,HERB,28.55,28.7,,
C1,BL,5,BL2,HERB,29.55,29.6,,
C1,BL,5,BL2,HERB,31.47,31.7,,
C1,BL,5,BL2,HERB,32.23,32.35,,
C1,BL,5,BL2,HERB,32.6,32.65,,
C1,BL,5,BL2,HERB,32.8,33.1,,
C1,BL,5,BL2,VISTE,32.7,33.4,100,
C1,BL,5,BL2,HERB,32.9,32.97,,
C1,BL,5,BL2,HERB,36.42,36.95,,
C1,BL,5,BL2,VISTE,36.6,36.85,100,
C1,BL,5,BL2,HERB,37.9,38.15,,
C1,BL,5,BL2,HERB,39.94,40.55,,
C1,BL,5,BL2,VISTE,41,41.65,100,
C1,BL,5,BL2,HERB,41.2,41.45,,
C1,BL,5,BL2,HERB,42.44,42.6,,
C1,BL,5,BL2,HERB,43.23,43.35,,
C1,BL,5,BL2,HERB,45.12,45.16,,
C1,BL,5,BL2,VISTE,46,46.5,100,
C1,BL,5,BL2,HERB,47.04,47.71,,
C1,BL,5,BL2,HERB,48.05,48.67,,
C1,BL,5,BL2,VISTE,48,48.3,100,
C1,BL,5,BL2,HERB,49.17,49.2,,
C1,BL,5,BL2,VISTE,49.3,50,100,
C1,BL,6,BL3,HERB,1.3,1.39,,
C1,BL,6,BL3,LECAN,3.4,3.68,100,
C1,BL,6,BL3,AGLEC,3.87,4.08,100,
C1,BL,6,BL3,AGLEC,4.15,4.48,100,
C1,BL,6,BL3,HERB,5.27,5.37,,
C1,BL,6,BL3,HERB,5.69,5.77,,
C1,BL,6,BL3,HERB,6.03,6.14,,
C1,BL,6,BL3,legmin,6.37,6.52,100,
C1,BL,6,BL3,HERB,6.8,6.88,,
C1,BL,6,BL3,AGLEC,7.2,7.55,100,
C1,BL,6,BL3,HERB,7.77,7.81,,
C1,BL,6,BL3,HERB,8.1,8.18,,
C1,BL,6,BL3,VISTE,8.65,9.72,100,
C1,BL,6,BL3,HERB,10,10.04,,
C1,BL,6,BL3,HERB,10.42,10.5,,
C1,BL,6,BL3,VISTE,10.8,11.1,100,RESPROUTS
C1,BL,6,BL3,HERB,11.03,11.07,,
C1,BL,6,BL3,DAFOR,13,13.5,50,
C1,BL,6,BL3,VISTE,13.2,13.97,100,
C1,BL,6,BL3,VISTE,13.8,14.22,100,
C1,BL,6,BL3,DALEI,14.15,15.2,0,
C1,BL,6,BL3,AGLEC,15.02,15.32,100,
C1,BL,6,BL3,HERB,15.32,15.5,,
C1,BL,6,BL3,legmin,15.74,16.07,15,
C1,BL,6,BL3,HERB,17.1,17.17,,
C1,BL,6,BL3,VISTE,18.15,18.72,100,
C1,BL,6,BL3,FERUP,18.6,20.1,0,
C1,BL,6,BL3,ACGRE,20.7,21.9,0,
C1,BL,6,BL3,DALEI,20.8,22.25,90,
C1,BL,6,BL3,HERB,22.95,23.21,,
C1,BL,6,BL3,AGLEC,24.2,24.7,100,
C1,BL,6,BL3,HERB,24.9,25.05,,
C1,BL,6,BL3,DALEI,25.5,26.15,95,
