"site","team","transect","spcode","start","stop","dieback","notes"
"BR1","KS",1,"MAHTRI",29.4,30.7,20,
"BR1","KS",1,"ACACON",29.5,30.1,0,
"BR1","KS",1,"DASLEI",29.6,30.8,10,
"BR1","KS",1,"ACACON",30.85,31.55,5,
"BR1","KS",1,"ACACON",32.2,33.6,5,
"BR1","KS",1,"ACACON",33.9,35.05,0,
"BR1","KS",1,"HERB",37,37.6,,
"BR1","KS",1,"DASLEI",37.6,37.9,0,
"BR1","KS",1,"DASLEI",38.2,39,0,
"BR1","KS",1,"VIQSTE",40.55,41.2,10,
"BR1","KS",1,"ACACON",40.7,41.1,10,
"BR1","KS",1,"ACACON",41.7,42.05,0,
"BR1","KS",1,"DASLEI",42.2,43.8,0,
"BR1","KS",1,"OPUCHI",44.1,44.3,60,
"BR1","KS",1,"VIQSTE",44.7,44.8,0,
"BR1","KS",1,"DASLEI",45.2,46.1,0,
"BR1","KS",1,"DASLEI",47.8,48.85,0,
"BR1","KS",2,"VIQSTE",0.4,1.3,10,
"BR1","KS",2,"unarmd",1.7,2.15,0,
"BR1","KS",2,"DASLEI",2,2.5,0,
"BR1","KS",2,"MIMACU",2.5,3.7,20,
"BR1","KS",2,"EPHTOR",2.85,3.5,5,
"BR1","KS",2,"OPUCHI",3.6,4.6,80,
"BR1","KS",2,"DASLEI",4.8,5.9,0,
"BR1","KS",2,"MIMACU",7.45,7.5,5,
"BR1","KS",2,"KRAGRA",7.95,8.35,0,
"BR1","KS",2,"ACACON",7.9,8.55,15,
"BR1","KS",2,"ACACON",8.9,10.6,20,
"BR1","KS",2,"unarmd",9.7,9.95,0,
"BR1","KS",2,"FENRUP",11.44,13.2,35,
"BR1","KS",2,"ACACON",15.03,16.2,5,
"BR1","KS",2,"oppwoo",15.8,15.85,0,
"BR1","KS",2,"DASLEI",16.3,17.5,0,
"BR1","KS",2,"unarmd",18.2,18.4,0,
"BR1","KS",2,"RHUMIC",20.15,22.3,20,
"BR1","KS",2,"OPUCHI",22.3,22.6,10,
"BR1","KS",2,"RHUMIC",22.7,23.95,10,
